Passenger1 ID;Passenger2 ID;Number of flights together
5490;2886;9
8089;8007;9
928;2959;9
5912;5978;9
6813;7605;9
928;1484;9
4034;7209;9
255;205;9
707;793;9
4016;4013;9
4042;4399;9
2857;3093;9
4339;4083;9
8562;8596;9
2905;1332;9
3503;7872;9
139;3889;9
4066;4011;9
1078;6003;9
928;2867;9
13221;9540;9
3503;3418;9
1371;2867;9
2588;12323;9
4373;2717;9
2576;248;9
419;2488;9
5769;5744;9
8234;8225;9
7643;8590;9
10067;13221;9
9282;855;9
6180;8519;9
5731;5716;9
6878;2773;9
2271;2225;9
364;1023;9
2511;1371;9
10798;7209;9
4674;3576;9
5486;5464;9
975;1484;9
5500;4316;9
11175;11180;9
4044;1666;9
1831;1246;9
7209;1715;9
5771;5734;9
928;4025;9
802;831;9
3913;3924;9
2857;8158;9
385;309;9
8158;4249;9
9252;4827;9
1053;1001;9
5798;5720;9
4364;4339;9
716;1053;9
4316;4399;9
5500;2717;9
368;1023;9
4363;4056;9
746;751;9
5440;2717;9
2867;975;9
4990;4969;9
4467;4496;9
3561;3548;9
4053;2511;9
3002;3028;9
4827;11225;9
1337;2959;9
4053;928;9
773;750;9
724;751;9
1053;1095;9
6113;479;9
5426;5414;9
7560;1822;9
1646;1677;9
4942;4969;9
247;3188;9
724;740;9
3472;2401;9
441;1646;9
3590;2857;9
8590;5867;9
3418;6447;9
7721;10067;9
2759;5440;9
7799;7768;9
1651;1046;9
4607;1865;9
8078;4389;9
1023;746;9
12323;10067;9
4339;4012;9
6113;2201;9
5448;5431;9
10350;8290;9
756;4384;9
746;716;9
2501;1272;9
3590;7866;9
8121;4178;9
1208;1677;9
4399;4339;9
5867;8045;9
2294;3576;9
5443;2717;9
7209;4820;9
13781;13731;9
4025;2511;9
264;230;9
2969;407;9
5198;8979;9
1733;5869;9
5744;5706;9
2117;241;9
8326;8961;9
6084;211;9
9752;1678;9
4147;8084;9
1677;8190;9
1715;4820;9
2717;5494;9
3963;3527;9
2906;2857;9
1371;2959;9
760;746;9
2759;2867;9
5486;5478;9
997;950;9
5434;4523;9
6823;6807;9
2776;2783;9
5481;2717;9
4012;4011;9
13668;13657;9
4468;5509;9
2479;10023;9
8732;7327;9
7810;3802;9
2776;901;9
5467;5420;9
5481;6017;9
701;724;9
4339;4395;9
4042;4388;9
975;2939;9
733;374;9
772;1001;9
763;716;9
5530;7677;9
5744;5771;9
9282;167;9
930;915;9
1984;1976;9
8411;6100;9
8260;6560;9
4656;2509;9
1715;2231;9
9282;3589;9
5771;5798;9
11198;8664;9
1351;1377;9
5787;5795;9
3021;7747;9
10022;4917;9
4009;4080;9
9540;10067;9
11276;3361;9
928;407;9
740;763;9
364;1001;9
7872;7820;9
184;1817;9
2734;950;9
7605;8190;9
167;7162;9
8353;7685;9
763;1095;9
2075;2062;9
7605;7685;9
716;701;9
7605;5482;9
3590;7872;9
7636;4404;9
774;731;9
3937;5467;9
9659;7679;9
4903;4988;9
4200;1413;9
701;746;9
833;813;9
6813;3093;9
724;760;9
1677;5482;9
1041;1064;9
5456;5490;9
2939;2867;9
6813;5423;9
2759;407;9
4013;4059;9
2440;2486;9
8068;8037;9
6020;2939;9
3637;3609;9
4388;2959;9
1023;1095;9
3677;11275;9
4009;4044;9
9355;8529;9
752;727;9
7898;9066;9
10334;10322;9
3090;9522;9
4165;9049;9
2939;928;9
2509;4609;9
4066;4009;9
975;2959;9
2773;4607;9
4451;10719;9
5522;7209;9
11808;10731;9
9069;2068;9
2969;1371;9
4478;3529;9
4852;2529;9
4011;1666;9
1464;2789;9
8596;6113;9
1023;1053;9
3590;7605;9
4042;2969;9
2560;443;9
4044;4080;9
5706;5761;9
6089;4552;9
4044;4066;9
9696;9649;9
7220;2926;9
763;795;9
3590;1208;9
3278;1677;9
2062;53;9
10764;10719;9
1371;2939;9
7039;5423;9
751;716;9
3356;7505;9
2969;928;9
4042;4053;9
6560;8262;9
468;394;9
724;746;9
6447;8411;9
724;763;9
4917;4675;9
4316;5440;9
8461;1613;9
1677;8411;9
368;364;9
2717;407;9
10764;10702;9
855;167;9
2759;2511;9
8810;2964;9
2345;61;9
13296;13249;9
760;740;9
11276;6777;9
4083;4044;9
3937;3527;9
3078;3021;9
8289;3735;9
5798;5706;9
1287;1228;9
603;649;9
10440;10446;9
5761;5788;9
4066;4012;9
4042;4316;9
4550;3292;9
2717;2867;9
5789;3093;9
716;761;9
286;292;9
746;740;9
5491;2717;9
2939;407;9
4395;4042;9
7747;8596;9
740;772;9
2776;2906;9
10541;855;9
746;1001;9
3920;3937;9
288;1678;9
5865;5808;9
2959;407;9
2068;3802;9
4083;4080;9
4066;4080;9
4042;4025;9
5494;4316;9
4011;4009;9
4364;5016;9
751;740;9
5490;6020;9
2482;3278;9
3414;368;9
9828;1678;9
2789;5401;9
211;8961;9
2117;2174;9
733;366;9
8158;7662;9
7866;7820;9
8363;2973;9
5459;1464;9
716;740;9
8684;1747;9
275;248;9
1484;2759;9
772;716;9
1865;4674;9
5744;5720;9
2857;6707;9
8006;8036;9
2867;407;9
2511;975;9
8679;479;9
4171;6208;9
1677;2857;9
4011;4080;9
4009;4399;9
2717;2511;9
1677;3418;9
288;2097;9
10203;10234;9
11276;11296;9
2501;2556;9
10313;10396;9
3590;3278;9
4774;8260;9
1337;2511;9
4082;1651;9
2988;4344;9
4761;1158;9
9752;2097;9
3477;3421;9
6548;10083;9
1715;5522;9
5706;5720;9
313;308;9
4881;4841;9
271;264;9
7685;8289;9
701;740;9
10785;10716;9
625;1677;9
979;1351;9
1337;2969;9
9540;12323;9
5731;5743;9
3858;4522;9
1026;1025;9
4016;2941;9
920;2437;9
950;959;9
1034;1616;9
4451;10702;9
772;763;9
772;701;9
751;759;8
6855;6897;8
4253;4226;8
3421;247;8
4373;5481;8
4184;7733;8
4042;4016;8
1403;1451;8
2717;2969;8
10806;10900;8
8158;1677;8
5720;5724;8
2294;5481;8
2941;2959;8
6535;10196;8
7780;7727;8
1444;4346;8
167;2937;8
10798;10762;8
2137;2111;8
3609;3615;8
778;721;8
4632;2544;8
1858;1607;8
758;795;8
625;441;8
4827;8368;8
10778;10716;8
4441;5544;8
1160;1146;8
4059;2941;8
975;930;8
3405;3490;8
9522;8679;8
9069;3153;8
919;10229;8
772;364;8
2511;2969;8
1371;1314;8
6707;4249;8
1678;1343;8
281;5737;8
2667;2655;8
740;739;8
6729;2231;8
6584;5612;8
5789;5482;8
11871;4070;8
10719;10714;8
10368;211;8
8519;258;8
10212;12210;8
4607;4942;8
5431;5404;8
10975;2185;8
701;739;8
3967;1063;8
6077;6096;8
2939;4042;8
13249;7661;8
10767;10764;8
740;733;8
9684;9664;8
11225;9493;8
11007;5016;8
993;10512;8
4209;5959;8
2717;2789;8
9097;9026;8
5706;5734;8
1616;2760;8
7605;1646;8
356;9540;8
281;3193;8
4487;4432;8
733;760;8
5490;4399;8
4012;4059;8
8190;3590;8
8149;8010;8
5668;4552;8
1561;1542;8
7860;2973;8
10767;10785;8
6854;6853;8
226;670;8
4942;2773;8
4816;4827;8
3590;5423;8
771;752;8
3418;2857;8
9988;9954;8
4013;4012;8
4399;4053;8
2288;2260;8
8037;8093;8
13564;7721;8
8363;7860;8
6001;6064;8
860;798;8
7082;8209;8
5370;5310;8
2959;4042;8
1074;2857;8
4451;392;8
1484;4053;8
719;774;8
8120;3021;8
733;763;8
1208;8190;8
4009;4395;8
10394;6548;8
4009;5414;8
10083;10037;8
760;759;8
2231;7209;8
5482;3590;8
3503;1677;8
1291;1265;8
2263;2222;8
5771;5706;8
2024;2945;8
2932;1330;8
1056;759;8
3172;3405;8
805;859;8
3064;3028;8
721;731;8
3172;3154;8
1635;1646;8
1976;1971;8
5423;2926;8
752;724;8
10017;10083;8
3503;5789;8
10899;10541;8
479;2065;8
10494;10481;8
4399;4025;8
10430;10439;8
1677;95;8
7505;7243;8
1437;1020;8
8037;6447;8
4226;2262;8
3123;610;8
3021;8562;8
4042;4052;8
9619;9620;8
9127;11280;8
4042;4013;8
1432;2776;8
6591;9862;8
9688;3968;8
625;2906;8
6729;4820;8
684;610;8
7721;13221;8
4034;1849;8
8212;10802;8
368;366;8
2548;2588;8
9330;9353;8
2939;4388;8
10095;10022;8
3332;3309;8
8983;8979;8
10548;10439;8
852;831;8
5467;3920;8
2959;2717;8
2190;2134;8
6447;6813;8
5769;5761;8
10037;10016;8
4682;4614;8
9777;8006;8
5456;4395;8
1782;1631;8
10778;10764;8
9066;7209;8
7240;7229;8
1337;1314;8
2939;2759;8
728;736;8
9522;1475;8
9988;9906;8
9997;4359;8
2927;2922;8
2278;2244;8
8363;10661;8
139;8025;8
5734;5720;8
1677;5423;8
6870;6855;8
2941;4083;8
6813;5482;8
4011;1696;8
363;6519;8
3544;4674;8
2901;2910;8
6089;6043;8
1031;354;8
4016;5046;8
12389;9653;8
10022;4827;8
3343;3332;8
2458;3635;8
2544;8006;8
5467;5435;8
4554;4945;8
368;1095;8
772;755;8
3278;6813;8
8589;8598;8
10179;9906;8
4016;4012;8
1701;3012;8
9098;7810;8
4170;2201;8
928;2759;8
2674;2699;8
4025;4388;8
11101;11143;8
5789;5737;8
763;752;8
4012;2941;8
2482;3286;8
1482;1484;8
11508;9738;8
935;1250;8
4080;4013;8
4066;4339;8
4353;4309;8
628;4827;8
625;1635;8
8158;2926;8
3590;1635;8
7662;5423;8
4384;7508;8
2886;2939;8
4373;6854;8
2295;2236;8
10325;7243;8
6027;6004;8
8158;3590;8
811;3752;8
755;751;8
6809;4969;8
9704;9755;8
4353;4373;8
2674;2667;8
3867;4546;8
4083;4364;8
1963;1994;8
5946;5978;8
11450;13731;8
1673;6208;8
2531;2600;8
248;293;8
6113;7747;8
4373;4309;8
8679;8562;8
4364;4011;8
141;3554;8
1692;2560;8
5481;6064;8
2532;4584;8
5434;5422;8
739;755;8
10778;10785;8
6447;6052;8
3937;3963;8
719;778;8
1371;4025;8
739;759;8
7661;9994;8
746;771;8
6777;11296;8
4395;4025;8
5414;5456;8
8961;1677;8
4514;9441;8
1031;1029;8
7898;1849;8
10373;10352;8
771;763;8
5744;5788;8
10756;10799;8
6064;6039;8
4969;5491;8
4584;3851;8
5491;2294;8
3971;3994;8
1917;92;8
7872;1208;8
759;755;8
5116;6111;8
9586;2719;8
5423;5490;8
761;764;8
4025;2867;8
8679;7747;8
13221;13564;8
12323;356;8
739;716;8
2759;3576;8
1865;4990;8
10334;2857;8
167;10899;8
3180;274;8
2068;9098;8
3963;3920;8
4092;1342;8
4990;4607;8
9766;7162;8
5761;5798;8
2500;2425;8
435;1074;8
6892;6857;8
6707;10349;8
751;733;8
7007;3298;8
928;915;8
5332;6507;8
5668;1613;8
1432;2857;8
9752;6783;8
746;739;8
2734;477;8
915;2941;8
1966;11276;8
6854;4674;8
1677;7662;8
756;7508;8
2905;1766;8
10719;10716;8
1482;930;8
953;6084;8
10313;7220;8
10767;10719;8
7505;8158;8
8403;8411;8
613;10398;8
3078;2065;8
4359;4398;8
4170;7747;8
10785;10764;8
3637;3615;8
2734;2993;8
4059;4080;8
8190;7618;8
4827;6208;8
10937;2378;8
4364;4336;8
13296;7661;8
6777;3361;8
7039;7662;8
1371;2717;8
3502;2284;8
6063;6017;8
4609;4646;8
1138;10017;8
4080;2789;8
4632;3367;8
2175;2197;8
7209;6729;8
739;771;8
4674;2294;8
8595;9441;8
4700;4614;8
11808;932;8
211;281;8
2294;4316;8
8684;8128;8
5912;2780;8
11910;11909;8
4285;1651;8
10714;10716;8
5711;2790;8
9363;9340;8
6017;5491;8
3735;3330;8
5101;2588;8
10767;4070;8
739;772;8
392;4034;8
9363;10046;8
2185;9441;8
2548;7194;8
8194;8424;8
4969;6017;8
4052;4016;8
2759;975;8
276;2204;8
3937;1548;8
855;10576;8
7662;6750;8
6813;6707;8
1012;3102;8
5380;13731;8
2258;3513;8
1343;8445;8
2926;10313;8
701;771;8
2522;2545;8
7379;5867;8
9069;7505;8
2645;2620;8
10762;10767;8
774;1043;8
2588;11211;8
5590;5596;8
1464;4044;8
8596;4170;8
4713;6317;8
4917;4827;8
13249;5111;8
5459;11275;8
4025;1484;8
3356;3153;8
2354;6560;8
894;805;8
2111;2182;8
4025;975;8
4942;1865;8
2939;2941;8
763;755;8
1484;2969;8
2573;2531;8
9700;9699;8
4556;822;8
8190;6813;8
5800;5912;8
4053;2867;8
2941;4339;8
3090;7747;8
4969;6064;8
385;1043;8
610;650;8
344;380;8
2973;2482;8
7194;7114;8
10780;10720;8
9540;7721;8
2969;2867;8
8461;5668;8
2972;2911;8
7605;1635;8
4656;4646;8
794;2911;8
6067;6061;8
8158;10325;8
9118;9127;8
324;328;8
5668;8158;8
5954;5966;8
10439;10407;8
5922;5946;8
2489;2411;8
11514;11537;8
752;755;8
6084;1677;8
4275;7520;8
1208;5482;8
293;299;8
205;274;8
8363;6084;8
479;4170;8
5503;1715;8
2969;2941;8
3286;3356;8
5911;2886;8
4170;8679;8
4632;4656;8
486;6030;8
290;602;8
2960;10389;8
928;2717;8
3093;2886;8
8735;5207;8
1007;334;8
1337;4025;8
8093;8068;8
360;392;8
1498;2728;8
2783;2759;8
5332;1733;8
5748;11280;8
5742;5740;8
6064;4316;8
5748;6208;8
1498;4933;8
2959;2759;8
4373;4674;8
4034;9066;8
4665;4611;8
1982;5096;8
771;759;8
2222;2221;8
13163;10244;8
12298;10446;8
4364;4066;8
1884;4969;8
2939;5456;8
915;975;8
7868;7866;8
4249;10373;8
368;1053;8
5954;5977;8
4451;1822;8
6;72;8
2926;3093;8
1240;5021;8
4339;5426;8
4468;2776;8
2975;1624;8
6805;5546;8
1677;211;8
3279;7810;8
2277;4200;8
10716;10702;8
2279;3509;8
7098;2174;8
5101;12323;8
5668;2857;8
5755;5711;8
8353;8289;8
7820;7868;8
364;1095;8
95;3330;8
975;4399;8
368;772;8
4042;4080;8
959;2993;8
751;739;8
1337;2759;8
5696;7076;8
4316;4969;8
771;772;8
6030;3924;8
7612;5564;8
2544;9068;8
6113;8562;8
3120;2734;8
778;731;8
2759;2789;8
1038;793;8
4650;2701;8
6069;6071;8
910;905;8
1984;1971;8
366;739;8
4339;4044;8
3418;6707;8
2655;2699;8
1678;1562;8
392;364;8
975;2717;8
1715;6729;8
6773;5590;8
10377;10325;8
4376;4032;8
5482;1635;8
4042;4012;8
10785;10714;8
4316;4025;8
733;716;8
771;751;8
13564;9540;8
2776;5411;8
13564;356;8
6039;6063;8
3963;1747;8
5789;7866;8
5482;7662;8
6294;5590;8
7560;1715;8
719;721;8
8969;8995;8
119;139;8
8562;9522;8
3021;8596;8
2573;2600;8
1850;311;8
5769;5788;8
10767;10714;8
10394;10373;8
3309;3399;8
9369;9385;8
8209;8289;8
4364;4080;8
724;759;8
937;917;8
749;758;8
6783;9828;8
730;768;8
1240;1263;8
771;716;8
1343;9752;8
5869;6507;8
6813;7872;8
7605;2857;8
191;6729;8
2354;4774;8
5761;5744;8
4042;1484;8
2783;2789;8
92;9098;8
10509;9833;8
10407;10430;8
7810;7505;8
950;2993;8
625;1646;8
2993;997;8
5964;5993;8
4080;4016;8
10478;4483;8
6733;5634;8
8584;3021;8
746;755;8
5954;5720;8
2723;4142;8
9395;9369;8
13296;5111;8
816;4092;8
3544;4969;8
859;894;8
5934;5927;8
2262;2247;8
2294;6017;8
592;1246;8
5798;5788;8
9904;9985;8
5724;5761;8
5706;5724;8
14060;14018;8
7505;10325;8
10702;10714;8
4017;4013;8
211;266;8
10016;10017;8
11939;8040;8
8965;8995;8
289;244;8
7605;3418;8
1677;441;8
374;368;8
10719;10778;8
11046;10937;8
993;940;8
4395;2959;8
10702;10767;8
1371;4053;8
10975;9063;8
10899;9282;8
5491;4373;8
364;1053;8
7209;1849;8
8146;5564;8
5668;5819;8
4046;4010;8
4235;5416;8
780;1033;8
9828;1343;8
772;752;8
392;1637;8
3002;3064;8
1012;2645;8
7661;5111;8
1853;1828;8
7866;1208;8
771;724;8
385;308;8
2185;2169;8
1616;1608;8
11280;6208;8
4335;7727;8
10310;5093;8
4774;6166;8
942;2185;8
11290;8961;8
4017;4052;8
7662;1635;8
8679;3021;8
1208;3503;8
9441;11917;8
211;8363;8
4034;9700;8
7809;7706;8
5787;5766;8
930;1314;8
4395;2969;8
12516;12594;8
6100;6447;8
1002;1073;8
1106;1173;8
1056;1053;8
4205;4212;8
2717;2783;8
2326;95;8
701;755;8
727;733;8
752;701;8
4044;4364;8
4903;5009;8
2759;1371;8
10778;10702;8
378;758;8
10757;517;8
9610;9679;8
5789;1677;8
3432;3275;8
407;4388;8
10616;10541;8
11225;4917;8
4399;2959;8
759;716;8
3309;8539;8
2336;4202;8
3180;275;8
407;1337;8
6832;6824;8
407;1666;8
4069;4346;8
8190;5789;8
9063;3677;8
7605;1208;8
4388;2969;8
5788;5724;8
1369;1371;8
4816;10022;8
2789;407;8
740;759;8
7914;2926;8
3147;1146;8
752;740;8
309;313;8
3590;3093;8
7721;356;8
2345;2354;8
5798;5734;8
10702;10785;8
2137;2182;8
975;901;8
8068;6447;8
746;752;8
6064;5491;8
759;733;8
2911;2905;8
1046;391;8
4707;2185;8
5724;5798;8
8584;8596;8
1005;2719;8
724;733;8
11730;11729;8
382;191;8
4053;4388;8
2131;2111;8
9421;4737;8
852;802;8
407;4042;8
2137;2131;8
3090;8584;8
7039;7082;8
479;9522;8
795;749;8
3991;1617;8
4744;1320;8
5769;950;8
759;763;8
11687;11649;8
7505;3153;8
5744;5724;8
1994;6720;8
9954;9992;8
755;750;8
362;334;8
3802;1917;8
12530;12567;8
2511;4399;8
9063;1464;8
3590;6447;8
920;662;8
3679;3698;8
4990;2773;8
1429;2957;8
11450;11633;8
7898;7209;8
5989;5787;8
11450;13781;8
5423;1371;8
11853;11808;8
13605;10909;8
1482;1464;8
5771;5720;8
5330;9699;8
10778;10767;8
4942;1884;8
975;1369;8
4449;9619;8
392;7898;8
3576;4969;8
4316;4053;8
1562;8579;8
10017;10037;8
5411;2857;8
2117;7579;8
10989;4854;8
6897;6870;8
183;356;8
6805;9098;8
733;755;8
4017;4059;8
4059;4042;8
4514;2185;8
3432;7076;8
11192;4391;8
407;975;8
364;374;8
3029;4650;8
10310;8353;8
6453;6474;8
10346;1677;8
1884;4990;8
5484;5468;8
930;928;8
7662;3278;8
739;760;8
5744;5734;8
739;724;8
733;746;8
356;10067;8
1482;2783;8
7685;1646;8
2323;2797;8
9101;5201;8
3356;7810;8
4013;4052;8
479;8584;8
9063;5459;8
731;719;8
364;746;8
3421;1053;8
7747;479;8
7291;7253;8
701;733;8
6729;5522;8
6857;6067;8
3414;3413;8
7820;3503;8
4044;1696;8
5459;1164;8
6069;2773;8
7191;5116;8
2959;2867;8
4170;6113;8
5456;4399;8
5789;7872;8
4399;407;8
4097;4152;8
1377;979;8
4170;9376;8
2097;1343;8
5966;5953;8
9600;9862;8
5766;5795;8
3503;4249;8
9704;7506;8
10762;7209;8
5359;5383;8
7747;2201;8
6070;6012;8
2182;2131;8
3021;479;8
13564;12323;8
4248;4217;8
10764;10716;8
2959;2511;8
5792;5775;8
942;8010;8
5706;5769;8
2939;2511;8
2717;2939;8
382;1822;8
772;759;8
1315;1332;8
1246;9828;8
4316;4339;8
1056;382;8
6535;6323;8
1337;2717;8
9363;8078;8
2443;2412;8
10089;10095;8
6053;3275;8
7820;3590;8
2504;7162;8
772;768;8
4674;4990;8
13221;356;8
4969;2773;8
740;771;8
10631;10652;8
10760;10798;8
1272;2556;8
739;368;8
888;833;8
584;525;8
3188;3421;8
8190;7662;8
1337;4053;8
8595;2185;8
1608;1365;8
2759;2969;8
2231;4820;8
2263;2221;8
5720;5788;8
733;772;8
1677;7868;8
4011;4339;8
10384;10356;8
10308;798;8
1464;10975;8
1056;1095;8
771;760;8
8562;2201;8
778;774;8
4053;4395;8
2441;10145;8
9321;9369;8
2488;2269;8
4774;2841;8
5769;5798;8
5769;5724;8
10741;10780;8
191;4820;8
755;716;8
6591;2964;8
6904;2575;8
3615;165;8
10819;7162;8
2717;6001;8
6064;6063;8
1503;1598;8
10022;11225;8
1464;1484;8
6752;5592;8
763;739;8
2674;2655;8
9069;3802;8
2548;8057;8
10389;4850;8
11211;12323;8
9522;8596;8
2857;4249;8
1246;3677;8
4012;4364;8
2988;2972;8
6293;7661;8
7799;2960;8
7099;5212;8
5332;5869;8
75;6777;8
1452;2035;8
721;774;8
1097;1254;8
8363;2482;8
10719;10785;8
5443;4373;8
1095;3440;8
11176;11137;8
4316;6017;8
6548;10016;8
10899;10576;8
308;309;8
10022;10089;8
484;497;8
11610;10596;8
2105;2106;8
8269;8256;8
5546;4441;8
1635;441;8
1635;8190;8
1619;438;8
7379;8307;8
4364;4009;8
7866;6813;8
1818;1482;8
2941;4009;8
3286;6805;8
3442;3472;8
9822;10110;8
3940;1598;8
7662;7872;8
4052;4059;8
1023;1056;8
10899;10833;8
4395;407;8
191;5522;8
4441;4283;8
4388;4309;8
2231;191;8
3090;8562;8
9441;92;8
4249;2926;8
2926;3418;8
650;684;8
8045;8590;8
7605;4249;8
10937;11074;8
975;4053;8
4541;9540;8
7319;11767;8
755;724;8
1677;2926;8
5997;5912;8
3735;7605;8
905;2992;8
9441;1464;8
6730;6769;8
366;364;8
2269;419;8
2867;1696;8
395;362;8
4969;1865;8
755;760;8
8584;9522;8
2596;2544;8
2273;2279;8
2294;6064;8
1045;1095;8
1666;2511;8
369;333;8
11917;1464;8
5575;870;8
1484;2939;8
443;1692;8
4034;7898;8
7605;5789;8
1464;4011;8
8363;8961;8
191;1715;8
5423;3093;8
2760;2780;8
2498;126;8
752;759;8
10352;10334;8
6013;5055;8
8810;6591;8
10720;10741;8
4400;4319;8
1475;7747;8
1947;13819;8
8579;7801;8
3980;3941;8
9539;5081;8
5481;4969;8
4674;2759;8
4816;4917;8
1464;2941;8
10778;10714;8
4514;8595;8
2284;2223;8
5412;5435;8
375;337;8
191;7209;8
4399;2969;8
7477;7463;8
407;1371;8
8556;9101;8
6896;6827;8
10067;13564;8
4641;4632;8
759;746;8
2941;2789;8
746;368;8
7721;12323;8
4607;4969;8
4674;4942;8
5720;5761;8
9395;9385;8
2939;2906;8
10616;10644;8
5978;2645;8
752;716;8
2717;5922;8
241;7579;8
7872;7868;8
5503;5522;8
4957;6067;8
5093;8353;8
5096;10767;8
733;771;8
2544;1643;8
1314;915;8
791;709;8
3356;9069;8
1696;2941;8
8158;7243;8
7713;7822;8
3735;1646;8
4016;4017;8
3090;3078;8
10616;10576;8
10764;10714;8
4451;10764;8
759;701;8
1056;1001;8
5720;5769;8
8350;8270;8
7724;7509;8
3589;2212;8
6896;5966;8
752;751;8
3330;1677;8
6813;8158;8
2941;1666;8
477;950;8
7209;392;8
4339;4080;8
6039;6017;8
6857;1769;8
6707;3590;8
3078;3837;8
1484;2959;8
11276;75;8
9721;6743;8
1043;309;8
1158;1052;8
1849;2336;8
2667;2699;8
385;313;8
2926;3278;8
5668;9410;8
4852;429;8
4076;1982;8
5869;6523;8
2550;3173;8
8297;7318;8
7741;7778;8
8158;7039;8
4552;8048;8
659;605;8
4009;4016;8
9101;6733;8
8446;5201;8
2201;479;8
205;275;8
435;859;8
3153;7810;8
2097;9063;7
2655;1014;7
4814;4850;7
2926;7605;7
11812;11811;7
407;1482;7
6049;6063;7
6063;4969;7
4373;4013;7
8006;8519;7
5710;10753;7
5964;5954;7
2717;2734;7
1084;3959;7
8960;8904;7
309;774;7
13878;13894;7
8411;2939;7
1505;3223;7
5574;5545;7
5962;5959;7
5495;5421;7
8979;8986;7
